rank,score,mse,corr,base,transform,smooth,detrend,n,lag1,lag2,lag3,mean12_30,max42_48,lag50
1,0.18084878619820768,0.037227970243420866,0.8500135677074981,posix_article_records,binary_p97,31,51,113,0.861994421443472,0.7356409164095099,0.6528440346985983,-0.3381612612235662,0.2664925010465001,0.10723738421341335
2,0.18084878619820768,0.037227970243420866,0.8500135677074981,posix_article_sequence,binary_p97,31,51,113,0.861994421443472,0.7356409164095099,0.6528440346985983,-0.3381612612235662,0.2664925010465001,0.10723738421341335
3,0.1943222840554954,0.03905975554982253,0.8383243042473122,posix_article_records,binary_p97,31,61,113,0.8834317729381899,0.7728093193141973,0.6949694860382573,-0.3184049332349225,0.251293486009165,0.13126282582833876
4,0.1943222840554954,0.03905975554982253,0.8383243042473122,posix_article_sequence,binary_p97,31,61,113,0.8834317729381899,0.7728093193141973,0.6949694860382573,-0.3184049332349225,0.251293486009165,0.13126282582833876
5,0.19478193604424734,0.03147791609190597,0.8540033144135725,posix_article_records,binary_p97,31,41,113,0.8288247564975345,0.6756096337789468,0.5805177065167586,-0.30127407903956116,0.22844908829029711,0.07231469052914817
6,0.19478193604424734,0.03147791609190597,0.8540033144135725,posix_article_sequence,binary_p97,31,41,113,0.8288247564975345,0.6756096337789468,0.5805177065167586,-0.30127407903956116,0.22844908829029711,0.07231469052914817
7,0.1970182390157932,0.026345220314060898,0.8554028433769986,posix_article_records,binary_p95,31,31,113,0.7586457285875967,0.5492840657254319,0.45228700213923134,-0.10556284325786408,0.20893025550760405,-0.01225554779170537
8,0.1970182390157932,0.026345220314060898,0.8554028433769986,posix_article_sequence,binary_p95,31,31,113,0.7586457285875967,0.5492840657254319,0.45228700213923134,-0.10556284325786408,0.20893025550760405,-0.01225554779170537
9,0.20044514859623663,0.036024876153633756,0.8044502354479408,posix_timebin_0.5s,log1p,31,11,1417,0.8249573504036615,0.582979745429649,0.3387501731082188,-0.15807850504184834,0.23127952037589045,0.0776880470434887
10,0.2011628495495403,0.03415551795204404,0.8317231751111783,posix_timebin_0.5s,log1p,31,15,1417,0.8878870233393317,0.7275212015861927,0.5485404055725251,-0.2215581304297282,0.22233070960903936,0.0998815132918567
11,0.2263616315152921,0.03377268805831825,0.8264718893645571,posix_timebin_0.5s,sqrt,31,15,1417,0.8805382587704405,0.6980796074354444,0.49267933219468285,-0.19739226461347337,0.19572857762981613,0.09077641989656554
12,0.22958111059723674,0.024736428555814753,0.8624240019450803,posix_article_records,binary_p95,31,41,113,0.8096446655601413,0.6407010714385063,0.5510490750344851,-0.16323050916277315,0.17015315255919558,-0.03365723920979383
13,0.22958111059723674,0.024736428555814753,0.8624240019450803,posix_article_sequence,binary_p95,31,41,113,0.8096446655601413,0.6407010714385063,0.5510490750344851,-0.16323050916277315,0.17015315255919558,-0.03365723920979383
14,0.2529192661215394,0.04005577673249475,0.7761274190439883,posix_timebin_0.5s,sqrt,31,11,1417,0.8189836458485408,0.5444272028425723,0.2641056983253133,-0.13269676903590985,0.1918462206559417,0.06817141075492233
15,0.25424487548325636,0.052791562700943706,0.6763862691144183,posix_article_records,binary_p97,3,61,113,0.7095482587237205,0.41560544363980734,0.11832255558908539,-0.14025606083999237,0.2438128396468607,-0.0627657212278522
16,0.25424487548325636,0.052791562700943706,0.6763862691144183,posix_article_sequence,binary_p97,3,61,113,0.7095482587237205,0.41560544363980734,0.11832255558908539,-0.14025606083999237,0.2438128396468607,-0.0627657212278522
17,0.25544555166983357,0.03552324471428051,0.8117548861716536,posix_timebin_0.5s,raw,31,15,1417,0.8697628513940665,0.6659967719915241,0.4360722709826673,-0.17512670075793818,0.1738157915116131,0.08417766522610705
18,0.26171378548119706,0.04977661087777702,0.8060447418566339,posix_timebin_0.5s,log1p,31,21,1417,0.9334429704829649,0.8378229777244586,0.7247733120885482,-0.3022750245448879,0.20028678384277884,0.11251864885670496
19,0.26412498609501167,0.040132706599701036,0.8236738442772342,posix_timebin_0.5s,raw,31,21,1417,0.9172900095544215,0.7940524337696346,0.6507009589752705,-0.27546675443584306,0.17682198838763086,0.10368847913423894
20,0.2648181561966498,0.04490971275340395,0.8135485920966629,posix_timebin_0.5s,sqrt,31,21,1417,0.9269414848898899,0.8186366751915911,0.6914691498541945,-0.2878693914000951,0.18665454839883813,0.10682319348589006
21,0.26608593927910185,0.029792964385960092,0.8387520471335247,posix_article_records,binary_p97,31,31,113,0.7724690169217378,0.5764943008279405,0.47112817922936606,-0.21111951013054464,0.15143999464898358,-0.001241868179627305
22,0.26608593927910185,0.029792964385960092,0.8387520471335247,posix_article_sequence,binary_p97,31,31,113,0.7724690169217378,0.5764943008279405,0.47112817922936606,-0.21111951013054464,0.15143999464898358,-0.001241868179627305
23,0.2665942048930034,0.039373733559534205,0.7812274600577578,posix_timebin_0.5s,log1p,21,11,1417,0.8152100446518676,0.559959358943626,0.3072635156015292,-0.17015137529881752,0.1756091652545533,-1.2445598393178853e-06
24,0.26819560028492323,0.0376146212896354,0.8097770989853,posix_timebin_0.5s,log1p,21,15,1417,0.8805808660829325,0.7101712796947034,0.5225017570896164,-0.24627811700255467,0.16946452992555838,8.752197570780657e-05
25,0.2709284808892301,0.035895741101456255,0.8173932330526984,posix_timebin_0.2s,log1p,21,21,3539,0.9283649302577068,0.8168215801763351,0.6792632900627217,-0.23594846526652044,0.1647827628776699,0.058441392286189234
26,0.2720369631718028,0.030670970349406645,0.8246482740548966,posix_timebin_0.2s,log1p,21,15,3539,0.889614253012037,0.7011807553931332,0.47781395095990287,-0.15773826136505764,0.15212133825057472,0.031585392842562315
27,0.27204611139991164,0.07797522653670365,0.7494485201150434,posix_article_records,binary_p97,21,61,113,0.8900789709017638,0.7787988255968156,0.7172688269333067,-0.4110299391265131,0.2804900366356118,-0.001855586558855821
28,0.27204611139991164,0.07797522653670365,0.7494485201150434,posix_article_sequence,binary_p97,21,61,113,0.8900789709017638,0.7787988255968156,0.7172688269333067,-0.4110299391265131,0.2804900366356118,-0.001855586558855821
29,0.27436014755891,0.05503982839249441,0.6613085641977228,posix_article_records,binary_p97,3,51,113,0.7091009418975763,0.41741725141828795,0.1250809087937597,-0.1394276247358152,0.22914734674107845,-0.08358643377383107
30,0.27436014755891,0.05503982839249441,0.6613085641977228,posix_article_sequence,binary_p97,3,51,113,0.7091009418975763,0.41741725141828795,0.1250809087937597,-0.1394276247358152,0.22914734674107845,-0.08358643377383107
31,0.274990587085757,0.05373987059115425,0.7133897824030391,posix_timebin_0.333s,log1p,0,41,2126,0.8275911106059579,0.6566518825734887,0.504412780368933,-0.08757584659668123,0.20992317201682884,0.14988782756704797
32,0.2771296453393795,0.04733066977627088,0.7292588655921585,posix_article_records,binary_p97,5,61,113,0.7910328570020939,0.5766026422588604,0.4070445502496696,-0.19512422809403854,0.19066385312258954,-0.09304541927267711
33,0.2771296453393795,0.04733066977627088,0.7292588655921585,posix_article_sequence,binary_p97,5,61,113,0.7910328570020939,0.5766026422588604,0.4070445502496696,-0.19512422809403854,0.19066385312258954,-0.09304541927267711
34,0.2804084546154393,0.03538977400403909,0.8153573842637307,posix_timebin_0.5s,sqrt,21,15,1417,0.8716252630740845,0.6851083677190335,0.4814570869181848,-0.2286462887464088,0.153265099909368,0.00023348713471769508
35,0.2905100029848961,0.06019672738426019,0.6581143334890321,posix_timebin_0.333s,log1p,0,31,2126,0.7841347407989536,0.5864843372799817,0.4140816491107482,-0.02792787546654214,0.23270965330762855,0.1351451116631968
36,0.29179103425205805,0.03431836503021263,0.817405637295595,posix_timebin_0.5s,raw,21,15,1417,0.8594490504512466,0.6557010124574068,0.43599988140107515,-0.21436393134449253,0.14102600540501298,0.00041515030225508894
37,0.2925977308508484,0.058638761368712024,0.6274923037732969,posix_article_records,binary_p97,3,91,113,0.6915899108112635,0.3830513115739641,0.07434946679632809,-0.10216956505051142,0.23048385338765176,-0.04455753236493754
38,0.2925977308508484,0.058638761368712024,0.6274923037732969,posix_article_sequence,binary_p97,3,91,113,0.6915899108112635,0.3830513115739641,0.07434946679632809,-0.10216956505051142,0.23048385338765176,-0.04455753236493754
39,0.29555312167493764,0.05704868347010286,0.7166041812568287,posix_timebin_0.333s,log1p,0,51,2126,0.8552954218868722,0.7050380068304393,0.5698903268239547,-0.14062051312191165,0.18759944441669443,0.14740088338210236
40,0.29707828434261513,0.034567455783181184,0.8161068542298268,posix_timebin_0.2s,sqrt,21,21,3539,0.9113540246788023,0.7849198438945558,0.638014851074822,-0.21946175451858196,0.13978141595950613,0.05671067145499565
41,0.2978590428229611,0.08999251033082623,0.716188331850997,posix_article_records,binary_p97,15,61,113,0.9064571934374361,0.8095336346213203,0.7098908900044227,-0.41298738204956176,0.27985562871289077,-0.1063454231928967
42,0.2978590428229611,0.08999251033082623,0.716188331850997,posix_article_sequence,binary_p97,15,61,113,0.9064571934374361,0.8095336346213203,0.7098908900044227,-0.41298738204956176,0.27985562871289077,-0.1063454231928967
43,0.29843847951118085,0.04076945491551549,0.7702920603367047,posix_timebin_0.5s,sqrt,21,11,1417,0.8035114294486708,0.5202073177594322,0.24145201459068702,-0.1525381915222469,0.15249065992121433,-6.888323871122572e-07
44,0.2992720728720133,0.04401036252706159,0.7919120407441468,posix_timebin_0.2s,log1p,15,21,3539,0.9554266141169282,0.8623917841602515,0.7459287585199368,-0.2069016919433342,0.1549624540859056,0.17848120037488296
45,0.3015083574250557,0.051746757278757216,0.7185239882503761,posix_timebin_0.333s,sqrt,0,41,2126,0.8472055566045466,0.657419887850064,0.486522332463337,-0.0807247220860532,0.1814851712992961,0.132044570938853
46,0.30255718645507707,0.03485293111016474,0.8013313665431788,posix_article_records,binary_p95,31,51,113,0.8321307553462256,0.6812109904542955,0.5976678463103181,-0.18132544493966635,0.1355497611379313,-0.09584168030013275
47,0.30255718645507707,0.03485293111016474,0.8013313665431788,posix_article_sequence,binary_p95,31,51,113,0.8321307553462256,0.6812109904542955,0.5976678463103181,-0.18132544493966635,0.1355497611379313,-0.09584168030013275
48,0.3041235246602613,0.06099520295187368,0.7019085927061914,posix_timebin_0.333s,log1p,3,41,2126,0.9344732122916558,0.7894642380367378,0.6093736202868467,-0.10529556992854787,0.19502736902596146,0.1826134448009638
49,0.3054029532066778,0.04931595948862355,0.75191059070094,posix_article_records,binary_p97,7,61,113,0.8437241868646344,0.6821435162908918,0.5528217824828641,-0.2591108406340147,0.16510566382122424,-0.05896049870574957
50,0.3054029532066778,0.04931595948862355,0.75191059070094,posix_article_sequence,binary_p97,7,61,113,0.8437241868646344,0.6821435162908918,0.5528217824828641,-0.2591108406340147,0.16510566382122424,-0.05896049870574957
